DATE,LMJVTTUVUSM647S
2021-04-01,9265000.0
2021-05-01,9639000.0
2021-06-01,9852000.0
2021-07-01,10783000.0
2021-08-01,10629000.0
2021-09-01,10673000.0
2021-10-01,11094000.0
2021-11-01,10922000.0
2021-12-01,11448000.0
2022-01-01,11283000.0
2022-02-01,11344000.0
2022-03-01,11855000.0
2022-04-01,11681000.0
2022-05-01,11303000.0
2022-06-01,11040000.0
2022-07-01,11170000.0
2022-08-01,10280000.0
2022-09-01,10717000.0
