DATE,CPALTT01USM657N
1960-01-01,-0.34013605442177
1960-02-01,0.341296928327646
1960-03-01,0
1960-04-01,0.34013605442177
1960-05-01,0
1960-06-01,0.338983050847448
1960-07-01,0
1960-08-01,0
1960-09-01,0
1960-10-01,0.675675675675678
1960-11-01,0
1960-12-01,0
1961-01-01,0
1961-02-01,0
1961-03-01,0
1961-04-01,0
1961-05-01,0
1961-06-01,0
1961-07-01,0.671140939597318
1961-08-01,-0.333333333333335
1961-09-01,0.334448160535118
1961-10-01,0
1961-11-01,0
1961-12-01,0
1962-01-01,0
1962-02-01,0.333333333333335
1962-03-01,0
1962-04-01,0.332225913621264
1962-05-01,0
1962-06-01,0
1962-07-01,0.331125827814571
1962-08-01,0
1962-09-01,0.330033003300331
1962-10-01,0
1962-11-01,0
1962-12-01,0
1963-01-01,0
1963-02-01,0
1963-03-01,0.328947368421054
1963-04-01,0
1963-05-01,0
1963-06-01,0.327868852459018
1963-07-01,0.326797385620916
1963-08-01,0
1963-09-01,0
1963-10-01,0.325732899022803
1963-11-01,0
1963-12-01,0.324675324675326
1964-01-01,0
1964-02-01,0
1964-03-01,0
1964-04-01,0
1964-05-01,0
1964-06-01,0.323624595469257
1964-07-01,0.322580645161292
1964-08-01,-0.32154340836013
1964-09-01,0.322580645161292
1964-10-01,0
1964-11-01,0.321543408360109
1964-12-01,0
1965-01-01,0
1965-02-01,0
1965-03-01,0.320512820512822
1965-04-01,0.319488817891375
1965-05-01,0
1965-06-01,0.636942675159238
1965-07-01,0
1965-08-01,0
1965-09-01,0
1965-10-01,0.316455696202533
1965-11-01,0
1965-12-01,0.315457413249213
1966-01-01,0
1966-02-01,0.628930817610066
1966-03-01,0.312500000000001
1966-04-01,0.62305295950156
1966-05-01,0
1966-06-01,0.309597523219816
1966-07-01,0.308641975308643
1966-08-01,0.615384615384618
1966-09-01,0
1966-10-01,0.611620795107036
1966-11-01,0
1966-12-01,0
1967-01-01,0
1967-02-01,0
1967-03-01,0.303951367781156
1967-04-01,0.303030303030304
1967-05-01,0.302114803625359
1967-06-01,0.30120481927711
1967-07-01,0.300300300300302
1967-08-01,0.299401197604792
1967-09-01,0.298507462686568
1967-10-01,0.297619047619049
1967-11-01,0.296735905044512
1967-12-01,0.295857988165682
1968-01-01,0.589970501474929
1968-02-01,0.293255131964811
1968-03-01,0.292397660818715
1968-04-01,0.291545189504355
1968-05-01,0.290697674418606
1968-06-01,0.579710144927539
1968-07-01,0.576368876080694
1968-08-01,0.2865329512894
1968-09-01,0.285714285714287
1968-10-01,0.569800569800572
1968-11-01,0.283286118980171
1968-12-01,0.282485875706216
