DATE,USALOLITONOSTSAM
1960-01-01,100.689540539774
1960-02-01,100.415835473676
1960-03-01,100.112702592167
1960-04-01,99.826300418431
1960-05-01,99.5761854842076
1960-06-01,99.3578876433693
1960-07-01,99.1528578428596
1960-08-01,98.9588937522781
1960-09-01,98.7673628991253
1960-10-01,98.6034066625619
1960-11-01,98.4963117973497
1960-12-01,98.477679873307
1961-01-01,98.5645479397557
1961-02-01,98.7750337206374
1961-03-01,99.096883282084
1961-04-01,99.4835118815877
1961-05-01,99.8777076313316
1961-06-01,100.244228615875
1961-07-01,100.559405251267
1961-08-01,100.816452922945
1961-09-01,101.003472825846
1961-10-01,101.118626628549
1961-11-01,101.167376023092
1961-12-01,101.138183879319
1962-01-01,101.024249202236
1962-02-01,100.842081379349
1962-03-01,100.594022737073
1962-04-01,100.30321921321
1962-05-01,100.009538816603
1962-06-01,99.7536951507896
1962-07-01,99.5771036273634
1962-08-01,99.4876625003459
1962-09-01,99.4835573147233
1962-10-01,99.5524329925922
1962-11-01,99.6780535513778
1962-12-01,99.8296031029806
1963-01-01,99.9795619423213
1963-02-01,100.10978848544
1963-03-01,100.212736946646
1963-04-01,100.284885674659
1963-05-01,100.312305775065
1963-06-01,100.294790461063
1963-07-01,100.251678435706
1963-08-01,100.207065818287
1963-09-01,100.182703853922
1963-10-01,100.174902463863
1963-11-01,100.179204042435
1963-12-01,100.207695425563
1964-01-01,100.270509519825
1964-02-01,100.347069996523
1964-03-01,100.431496074975
1964-04-01,100.514984994004
1964-05-01,100.591510683156
1964-06-01,100.660404818505
1964-07-01,100.717872325164
1964-08-01,100.756264494977
1964-09-01,100.794369532643
1964-10-01,100.837401374799
1964-11-01,100.900163509641
1964-12-01,100.97505106511
1965-01-01,101.041188831467
1965-02-01,101.080314612716
1965-03-01,101.081387966011
1965-04-01,101.04133347093
1965-05-01,100.976760058107
1965-06-01,100.916958741236
1965-07-01,100.895535306385
1965-08-01,100.930154372355
1965-09-01,101.026862711121
1965-10-01,101.175106933236
1965-11-01,101.350783950174
1965-12-01,101.519023266428
1966-01-01,101.638040745767
1966-02-01,101.666105376188
1966-03-01,101.580383429513
1966-04-01,101.383277952279
1966-05-01,101.09717050582
1966-06-01,100.777130588947
1966-07-01,100.449840945395
1966-08-01,100.132913762714
1966-09-01,99.8304768243954
1966-10-01,99.5376944625134
1966-11-01,99.2663500691969
1966-12-01,99.0349277235402
1967-01-01,98.8658277222573
1967-02-01,98.7751359122876
1967-03-01,98.7904352487771
1967-04-01,98.9150757657269
1967-05-01,99.1369263373473
1967-06-01,99.4138898120667
1967-07-01,99.7105282036987
1967-08-01,99.9962813614143
1967-09-01,100.242176428297
1967-10-01,100.437450583795
1967-11-01,100.57816412282
1967-12-01,100.66567278969
1968-01-01,100.697072517447
1968-02-01,100.699704853532
1968-03-01,100.691926018174
1968-04-01,100.684455802741
1968-05-01,100.68444222846
1968-06-01,100.704786288887
1968-07-01,100.757964869683
1968-08-01,100.85448825455
1968-09-01,100.994232254244
1968-10-01,101.133529964557
1968-11-01,101.220873344801
1968-12-01,101.237903547419
1969-01-01,101.188775184948
1969-02-01,101.080966226301
1969-03-01,100.923281396386
1969-04-01,100.716979414674
1969-05-01,100.467207196444
1969-06-01,100.214691439735
1969-07-01,99.9913930148046
1969-08-01,99.8055962484619
1969-09-01,99.6366908783971
1969-10-01,99.4535683796667
1969-11-01,99.2387144598311
1969-12-01,98.9882681142959
1970-01-01,98.7096604718129
1970-02-01,98.4336816643483
1970-03-01,98.187386376855
1970-04-01,97.9942947672356
1970-05-01,97.8804685545313
1970-06-01,97.8382575356972
1970-07-01,97.8414608686103
1970-08-01,97.8821566115014
1970-09-01,97.9764926644367
1970-10-01,98.1534695753245
1970-11-01,98.4470854504589
1970-12-01,98.8497280565938
1971-01-01,99.2879325732129
1971-02-01,99.6789758782282
1971-03-01,99.9708430897257
1971-04-01,100.160439621135
1971-05-01,100.257305053096
1971-06-01,100.290430551091
1971-07-01,100.296971636075
1971-08-01,100.31690211077
1971-09-01,100.391816778937
1971-10-01,100.552192454732
1971-11-01,100.810022132011
1971-12-01,101.148054998457
1972-01-01,101.501862443268
1972-02-01,101.817435494162
1972-03-01,102.063958331434
1972-04-01,102.245136008794
1972-05-01,102.383791089082
1972-06-01,102.506171776206
1972-07-01,102.644865146786
1972-08-01,102.821001277483
1972-09-01,103.01557726637
1972-10-01,103.197166016735
1972-11-01,103.340896489236
1972-12-01,103.41455847602
1973-01-01,103.396194565476
1973-02-01,103.276070486303
1973-03-01,103.050882302091
1973-04-01,102.736292350831
1973-05-01,102.367316022902
1973-06-01,101.989392130841
1973-07-01,101.642687902267
1973-08-01,101.357636805078
1973-09-01,101.138316287916
1973-10-01,100.964271090304
1973-11-01,100.79175694683
1973-12-01,100.604036837671
1974-01-01,100.409466666194
1974-02-01,100.184816439016
1974-03-01,99.9118223069038
1974-04-01,99.5759379254692
1974-05-01,99.1846176543061
1974-06-01,98.7504710205943
1974-07-01,98.2864297025302
1974-08-01,97.7958933617219
1974-09-01,97.2887758067168
1974-10-01,96.8130693980969
1974-11-01,96.4115102666693
1974-12-01,96.144074180803
1975-01-01,96.0645747575579
1975-02-01,96.1635462855924
1975-03-01,96.4122897833168
1975-04-01,96.7799737363157
1975-05-01,97.2094342495545
1975-06-01,97.6603274373256
1975-07-01,98.105682204013
1975-08-01,98.5233075277567
1975-09-01,98.9111384969647
1975-10-01,99.2793552185694
1975-11-01,99.639278677736
1975-12-01,99.9974475651114
1976-01-01,100.339369744211
