DATE,USACPIALLMINMEI
1960-01-01,12.361982473831
1960-02-01,12.4041735402946
1960-03-01,12.4041735402946
1960-04-01,12.4463646067582
1960-05-01,12.4463646067582
1960-06-01,12.4885556732217
1960-07-01,12.4885556732217
1960-08-01,12.4885556732217
1960-09-01,12.4885556732217
1960-10-01,12.5729378061489
1960-11-01,12.5729378061489
1960-12-01,12.5729378061489
1961-01-01,12.5729378061489
1961-02-01,12.5729378061489
1961-03-01,12.5729378061489
1961-04-01,12.5729378061489
1961-05-01,12.5729378061489
1961-06-01,12.5729378061489
1961-07-01,12.6573199390761
1961-08-01,12.6151288726125
1961-09-01,12.6573199390761
1961-10-01,12.6573199390761
1961-11-01,12.6573199390761
1961-12-01,12.6573199390761
1962-01-01,12.6573199390761
1962-02-01,12.6995110055397
1962-03-01,12.6995110055397
1962-04-01,12.7417020720033
1962-05-01,12.7417020720033
1962-06-01,12.7417020720033
1962-07-01,12.7838931384669
1962-08-01,12.7838931384669
1962-09-01,12.8260842049304
1962-10-01,12.8260842049304
1962-11-01,12.8260842049304
1962-12-01,12.8260842049304
1963-01-01,12.8260842049304
1963-02-01,12.8260842049304
1963-03-01,12.868275271394
1963-04-01,12.868275271394
1963-05-01,12.868275271394
1963-06-01,12.9104663378576
1963-07-01,12.9526574043212
1963-08-01,12.9526574043212
1963-09-01,12.9526574043212
1963-10-01,12.9948484707848
1963-11-01,12.9948484707848
1963-12-01,13.0370395372484
1964-01-01,13.0370395372484
1964-02-01,13.0370395372484
1964-03-01,13.0370395372484
1964-04-01,13.0370395372484
1964-05-01,13.0370395372484
1964-06-01,13.079230603712
1964-07-01,13.1214216701756
1964-08-01,13.079230603712
1964-09-01,13.1214216701756
1964-10-01,13.1214216701756
1964-11-01,13.1636127366391
1964-12-01,13.1636127366391
1965-01-01,13.1636127366391
1965-02-01,13.1636127366391
1965-03-01,13.2058038031027
1965-04-01,13.2479948695663
1965-05-01,13.2479948695663
1965-06-01,13.3323770024935
1965-07-01,13.3323770024935
1965-08-01,13.3323770024935
1965-09-01,13.3323770024935
1965-10-01,13.3745680689571
1965-11-01,13.3745680689571
1965-12-01,13.4167591354207
1966-01-01,13.4167591354207
1966-02-01,13.5011412683478
1966-03-01,13.5433323348114
1966-04-01,13.6277144677386
1966-05-01,13.6277144677386
1966-06-01,13.6699055342022
1966-07-01,13.7120966006658
1966-08-01,13.7964787335929
1966-09-01,13.7964787335929
1966-10-01,13.8808608665201
1966-11-01,13.8808608665201
1966-12-01,13.8808608665201
1967-01-01,13.8808608665201
1967-02-01,13.8808608665201
1967-03-01,13.9230519329837
1967-04-01,13.9652429994473
1967-05-01,14.0074340659109
1967-06-01,14.0496251323745
1967-07-01,14.0918161988381
1967-08-01,14.1340072653016
1967-09-01,14.1761983317652
1967-10-01,14.2183893982288
1967-11-01,14.2605804646924
1967-12-01,14.302771531156
1968-01-01,14.3871536640832
1968-02-01,14.4293447305468
1968-03-01,14.4715357970103
1968-04-01,14.5137268634739
1968-05-01,14.5559179299375
1968-06-01,14.6403000628647
1968-07-01,14.7246821957919
1968-08-01,14.7668732622554
1968-09-01,14.809064328719
1968-10-01,14.8934464616462
1968-11-01,14.9356375281098
1968-12-01,14.9778285945734
1969-01-01,15.020019661037
1969-02-01,15.1044017939641
1969-03-01,15.2309749933549
1969-04-01,15.3153571262821
1969-05-01,15.3575481927457
1969-06-01,15.4419303256728
1969-07-01,15.5263124586
1969-08-01,15.6106945915272
1969-09-01,15.6528856579908
1969-10-01,15.737267790918
1969-11-01,15.8216499238451
1969-12-01,15.9060320567723
1970-01-01,15.9482231232359
1970-02-01,16.0326052561631
1970-03-01,16.1169873890902
1970-04-01,16.243560588481
1970-05-01,16.2857516549446
1970-06-01,16.3701337878718
1970-07-01,16.4545159207989
1970-08-01,16.4545159207989
1970-09-01,16.5388980537261
1970-10-01,16.6232801866533
1970-11-01,16.7076623195804
1970-12-01,16.7920444525076
1971-01-01,16.7920444525076
1971-02-01,16.8342355189712
1971-03-01,16.8764265854348
1971-04-01,16.9186176518984
1971-05-01,17.0029997848256
1971-06-01,17.1295729842163
1971-07-01,17.1717640506799
1971-08-01,17.2139551171435
1971-09-01,17.2139551171435
1971-10-01,17.2561461836071
1971-11-01,17.2561461836071
1971-12-01,17.3405283165343
1972-01-01,17.3405283165343
1972-02-01,17.4249104494614
1972-03-01,17.467101515925
1972-04-01,17.5092925823886
1972-05-01,17.5514836488522
1972-06-01,17.5936747153158
1972-07-01,17.678056848243
1972-08-01,17.7202479147065
1972-09-01,17.7624389811701
1972-10-01,17.8468211140973
1972-11-01,17.8890121805609
1972-12-01,17.9312032470245
1973-01-01,17.9733943134881
1973-02-01,18.0999675128788
1973-03-01,18.2687317787332
1973-04-01,18.3953049781239
1973-05-01,18.5218781775147
1973-06-01,18.6484513769054
1973-07-01,18.690642443369
1973-08-01,19.0281709750777
1973-09-01,19.0703620415413
1973-10-01,19.2391263073957
1973-11-01,19.3656995067864
1973-12-01,19.4922727061772
1974-01-01,19.6610369720315
1974-02-01,19.9141833708131
1974-03-01,20.1673297695946
1974-04-01,20.2517119025218
1974-05-01,20.5048583013033
1974-06-01,20.6736225671576
1974-07-01,20.842386833012
1974-08-01,21.0955332317935
1974-09-01,21.348679630575
1974-10-01,21.559634962893
1974-11-01,21.7283992287473
1974-12-01,21.8971634946016
1975-01-01,21.9815456275288
1975-02-01,22.1503098933832
1975-03-01,22.2346920263103
1975-04-01,22.3190741592375
1975-05-01,22.4456473586283
1975-06-01,22.6144116244826
