DATE,IPMAN
1991-05-01,57.3182
1991-06-01,57.8765
1991-07-01,58.1990
1991-08-01,58.2471
1991-09-01,58.8866
1991-10-01,58.8168
1991-11-01,58.7078
1991-12-01,58.5804
1992-01-01,58.2734
1992-02-01,58.8296
1992-03-01,59.4442
1992-04-01,59.7834
1992-05-01,60.1338
1992-06-01,60.3312
1992-07-01,60.8948
1992-08-01,60.6092
1992-09-01,60.7115
1992-10-01,61.0911
1992-11-01,61.3501
1992-12-01,61.3004
1993-01-01,61.8712
1993-02-01,62.0286
1993-03-01,61.9013
1993-04-01,62.2209
1993-05-01,62.1457
1993-06-01,62.0525
1993-07-01,62.2034
1993-08-01,62.1210
1993-09-01,62.5778
1993-10-01,63.1204
1993-11-01,63.4249
1993-12-01,63.8360
1994-01-01,63.9090
1994-02-01,64.0264
1994-03-01,64.8792
1994-04-01,65.4726
1994-05-01,65.9064
1994-06-01,66.1347
1994-07-01,66.4222
1994-08-01,66.9720
1994-09-01,67.2340
1994-10-01,67.9129
1994-11-01,68.4827
1994-12-01,69.2326
1995-01-01,69.3663
1995-02-01,69.1782
1995-03-01,69.3739
1995-04-01,69.1909
1995-05-01,69.4237
1995-06-01,69.7509
1995-07-01,69.2837
1995-08-01,70.1304
1995-09-01,70.7780
1995-10-01,70.7317
1995-11-01,70.8042
1995-12-01,71.0979
1996-01-01,70.6446
1996-02-01,71.6817
1996-03-01,71.4954
1996-04-01,72.3957
1996-05-01,72.9831
1996-06-01,73.7082
1996-07-01,74.0426
1996-08-01,74.3512
1996-09-01,74.9851
1996-10-01,74.8816
1996-11-01,75.5364
1996-12-01,76.1658
1997-01-01,76.2562
1997-02-01,77.3018
1997-03-01,78.0775
1997-04-01,77.9733
1997-05-01,78.5324
1997-06-01,79.0198
1997-07-01,79.6013
1997-08-01,80.6079
1997-09-01,81.3332
1997-10-01,82.0570
1997-11-01,82.9165
1997-12-01,83.3892
1998-01-01,84.0855
1998-02-01,84.1859
1998-03-01,84.0064
1998-04-01,84.4022
1998-05-01,84.8416
1998-06-01,84.1547
1998-07-01,83.7244
1998-08-01,85.8644
1998-09-01,85.8033
1998-10-01,86.5483
1998-11-01,86.6571
1998-12-01,87.1953
1999-01-01,87.4415
1999-02-01,88.2450
1999-03-01,88.2119
1999-04-01,88.5581
1999-05-01,89.2875
1999-06-01,89.0936
1999-07-01,89.5106
1999-08-01,89.9822
1999-09-01,89.5707
1999-10-01,90.9407
